ID,ChoiceNum,ProjID,Gender,Grade,Score,
49,1,3,F,2019,1000,
130,1,3,F,2021,805,
141,1,3,F,2022,694,
304,1,3,M,2020,517,
383,1,3,M,2021,494,
436,1,3,F,2022,1148,
318,5,3,F,2020,498,
183,8,3,M,2020,426,
195,2,5,F,2019,600,
5,2,5,F,2019,300,
232,3,5,F,2021,390,
199,2,5,M,2019,400,
463,1,5,F,2022,662,
96,3,5,F,2020,488,
101,1,7,F,2020,791,
163,1,7,F,2022,555,
257,1,7,M,2019,600,
287,1,7,M,2019,600,
328,2,7,F,2020,542,
151,2,7,F,2022,627,
367,2,7,M,2021,601,
386,1,7,M,2021,806,
370,4,7,F,2021,554,
455,1,7,F,2022,718,
461,1,7,M,2022,686,
133,5,7,F,2021,551,
4,1,11,M,2019,300,
162,1,11,M,2022,830,
167,1,11,M,2022,695,
126,2,11,F,2021,82,
286,1,11,M,2019,300,
349,3,11,M,2020,480,
357,2,11,F,2020,550,
159,4,11,M,2022,151,
201,3,11,M,2022,391,
300,2,11,M,2019,400,
447,2,11,M,2022,367,
454,1,11,M,2022,613,
220,7,11,M,2021,433,
39,5,11,M,2019,300,
293,1,13,M,2019,300,
396,1,13,F,2021,553,
433,1,13,M,2022,855,
423,3,13,F,2022,415,
243,4,13,M,2022,289,
90,3,13,M,2021,514,
2,1,17,F,2019,1000,
158,1,17,F,2022,768,
171,1,17,F,2022,760,
179,1,17,F,2022,536,
208,1,17,F,2019,500,
223,1,17,M,2019,800,
272,1,17,F,2019,800,
276,1,17,M,2019,1100,
289,1,17,M,2019,500,
299,2,17,M,2019,600,
197,2,17,F,2019,500,
173,2,17,F,2022,692,
33,4,17,M,2019,500,
34,3,17,M,2019,505,
13,4,17,F,2019,700,
480,2,17,F,2022,555,
281,2,19,M,2019,400,
40,2,19,M,2019,600,
348,1,19,M,2020,472,
267,3,19,F,2019,400,
255,4,19,M,2019,300,
24,1,23,M,2019,600,
31,1,23,F,2019,400,
210,1,23,M,2019,500,
21,2,23,F,2019,500,
228,1,23,F,2020,757,
252,1,23,M,2019,800,
284,1,23,M,2019,800,
295,1,23,M,2019,1000,
297,1,23,F,2019,600,
202,2,23,M,2019,600,
326,1,23,M,2020,916,
156,3,23,F,2022,485,
343,1,23,M,2020,775,
342,5,23,M,2020,374,
470,6,23,M,2021,425,
43,2,23,F,2019,500,
37,1,29,F,2019,300,
60,1,29,M,2020,769,
160,1,29,F,2022,864,
303,1,29,M,2020,850,
42,2,29,F,2019,400,
379,1,29,F,2021,575,
344,4,29,M,2020,257,
30,2,29,F,2019,500,
472,1,29,M,2022,615,
114,1,31,M,2021,714,
172,1,31,M,2022,964,
176,1,31,F,2022,628,
61,2,31,F,2020,320,
56,2,31,M,2020,548,
444,5,31,M,2022,205,
227,3,31,M,2019,400,
102,1,37,F,2020,716,
181,1,37,F,2022,392,
182,1,37,M,2021,764,
254,1,37,F,2019,900,
266,1,37,F,2019,400,
362,1,37,M,2022,767,
209,4,37,F,2019,300,
224,2,37,M,2019,300,
305,5,37,F,2020,374,
459,1,37,F,2022,571,
346,2,37,F,2020,515,
481,2,37,F,2022,412,
22,1,41,F,2019,1000,
28,1,41,F,2019,800,
36,1,41,F,2019,900,
45,1,41,M,2019,1000,
52,1,41,M,2019,900,
149,1,41,F,2022,1065,
153,1,41,M,2022,1105,
238,1,41,F,2022,792,
274,1,41,F,2019,1100,
288,1,41,M,2019,800,
341,1,41,F,2020,1268,
345,1,41,M,2022,1397,
364,1,41,M,2021,1096,
385,1,41,M,2021,997,
418,1,41,M,2022,1150,
476,1,41,F,2022,967,
20,1,43,M,2019,800,
47,1,43,M,2020,953,
67,1,43,F,2020,609,
81,1,43,M,2020,792,
116,1,43,F,2021,1192,
117,1,43,F,2021,825,
216,1,43,F,2020,769,
263,1,43,F,2019,1000,
323,1,43,F,2020,667,
325,1,43,M,2020,718,
333,1,43,M,2020,1110,
355,1,43,F,2020,936,
1,2,43,M,2019,700,
268,3,43,F,2019,700,
437,1,43,M,2022,830,
451,1,43,M,2022,632,
59,1,47,M,2020,712,
88,1,47,M,2020,633,
91,1,47,F,2020,696,
93,1,47,F,2020,598,
100,1,47,F,2021,738,
242,1,47,F,2021,788,
120,2,47,F,2021,626,
226,2,47,F,2020,748,
314,1,47,F,2020,958,
319,1,47,F,2020,769,
321,1,47,M,2020,1064,
322,2,47,F,2020,553,
95,2,47,F,2020,696,
335,1,47,F,2020,791,
359,2,47,F,2020,611,
408,1,47,F,2021,701,
310,3,47,F,2020,520,
125,1,53,M,2021,743,
234,2,53,M,2020,522,
292,1,53,M,2019,700,
279,2,53,M,2019,800,
200,2,53,M,2019,400,
412,1,53,F,2021,242,
417,1,53,F,2022,1045,
168,8,53,M,2022,281,
373,3,53,M,2021,296,
118,1,59,F,2021,804,
129,1,59,F,2021,850,
132,1,59,F,2021,873,
191,1,59,F,2020,747,
194,1,59,F,2022,847,
196,1,59,F,2021,757,
217,1,59,F,2020,724,
231,1,59,M,2021,859,
239,1,59,F,2020,751,
246,1,59,M,2020,1132,
251,1,59,F,2019,800,
264,1,59,F,2019,900,
280,1,59,M,2019,1000,
327,1,59,F,2020,888,
330,1,59,F,2020,736,
358,1,59,F,2020,726,
406,1,59,F,2021,816,
127,2,59,F,2021,803,
11,1,61,M,2019,700,
51,1,61,F,2019,700,
290,2,61,M,2019,300,
374,1,61,F,2021,865,
392,1,61,M,2021,1243,
394,1,61,M,2021,807,
35,2,61,M,2019,400,
400,1,61,M,2021,916,
369,6,61,F,2021,195,
298,2,61,F,2019,500,
9,6,61,F,2019,500,
58,2,61,M,2020,560,
7,1,71,F,2019,800,
15,1,71,F,2019,400,
57,1,71,F,2020,921,
69,1,71,F,2020,612,
92,1,71,F,2020,263,
184,1,71,M,2019,1100,
213,1,71,F,2020,679,
38,2,71,F,2019,400,
353,1,71,F,2020,770,
270,2,71,M,2019,300,
294,3,71,M,2019,300,
14,3,71,F,2019,600,
474,1,71,M,2022,755,
398,2,71,M,2021,532,
53,1,73,F,2019,1100,
55,1,73,F,2019,1100,
80,1,73,F,2020,563,
143,1,73,F,2022,838,
154,1,73,F,2022,828,
189,1,73,M,2019,683,
352,1,73,M,2021,606,
371,1,73,F,2021,578,
372,1,73,F,2021,1221,
378,1,73,F,2021,967,
427,1,73,M,2022,816,
439,1,73,M,2022,626,
443,1,73,M,2022,593,
457,1,73,F,2022,904,
365,4,73,F,2021,530,
79,3,73,F,2020,724,
44,1,79,F,2019,300,
306,1,79,F,2022,837,
240,4,79,F,2020,249,
6,1,83,M,2019,700,
74,1,83,F,2020,905,
198,1,83,M,2020,724,
211,1,83,M,2020,582,
215,1,83,M,2020,916,
221,1,83,F,2021,773,
247,1,83,M,2022,664,
258,1,83,F,2019,700,
282,1,83,M,2019,700,
351,1,83,M,2020,692,
424,1,83,M,2022,1012,
449,1,83,M,2022,658,
145,1,89,F,2022,741,
174,1,89,M,2022,577,
203,1,89,F,2022,793,
204,1,89,M,2021,579,
245,1,89,F,2022,640,
248,1,89,M,2022,685,
250,1,89,F,2022,1331,
260,2,89,F,2020,594,
301,1,89,M,2021,603,
142,2,89,M,2022,507,
354,1,89,M,2020,670,
422,1,89,M,2022,1022,
430,1,89,F,2022,614,
446,1,89,F,2022,1256,
155,4,89,M,2022,385,
467,1,89,F,2022,790,
109,1,97,F,2021,505,
434,1,97,F,2022,822,
26,1,101,F,2019,1000,
64,1,101,M,2020,1247,
73,1,101,M,2020,856,
99,1,101,F,2020,678,
103,1,101,M,2021,894,
108,1,101,F,2021,783,
111,1,101,F,2021,602,
193,1,101,M,2021,1083,
222,1,101,M,2021,746,
291,1,101,M,2019,700,
308,1,101,F,2020,1027,
340,1,101,F,2020,879,
403,2,101,F,2021,629,
416,1,101,F,2022,570,
456,1,101,F,2022,841,
477,1,101,M,2022,806,
50,1,107,M,2020,1062,
77,1,107,F,2020,958,
82,1,107,F,2020,998,
122,1,107,F,2021,1315,
135,1,107,M,2021,839,
206,1,107,M,2022,1196,
214,1,107,F,2020,938,
253,1,107,F,2019,1100,
261,1,107,F,2022,935,
265,1,107,M,2021,990,
347,1,107,F,2020,906,
475,1,107,M,2022,1111,
71,1,109,M,2020,706,
85,1,109,M,2020,746,
86,1,109,M,2020,774,
97,1,109,M,2020,853,
104,1,109,F,2021,664,
119,1,109,M,2021,676,
218,1,109,M,2021,763,
229,1,109,M,2022,671,
312,1,109,F,2020,570,
48,2,109,M,2020,703,
389,1,109,F,2021,888,
399,1,109,F,2021,924,
401,2,109,F,2021,654,
440,1,109,M,2022,730,
469,1,109,F,2022,952,
334,5,109,M,2020,569,
65,1,113,F,2020,430,
94,1,113,M,2021,975,
311,5,113,M,2020,327,
382,1,113,F,2021,1114,
144,2,113,M,2022,407,
413,2,113,M,2021,560,
405,2,113,M,2021,757,
112,2,113,M,2021,460,
431,1,113,M,2022,386,
230,7,113,F,2020,426,
32,1,127,M,2019,700,
72,1,127,M,2020,746,
83,1,127,M,2020,1025,
123,1,127,M,2021,703,
136,1,127,M,2021,629,
180,1,127,M,2022,728,
205,1,127,F,2020,921,
207,2,127,M,2020,599,
324,1,127,F,2020,745,
302,3,127,M,2021,701,
375,1,127,M,2021,654,
381,1,127,F,2021,864,
63,2,127,M,2020,706,
356,2,127,M,2021,781,
70,1,131,F,2020,589,
84,1,131,F,2020,1475,
128,1,131,F,2021,845,
185,1,131,M,2021,600,
89,2,131,F,2020,600,
